"Valid Values","Description","source"
"L cone cell","A cone cell that detects long wavelength light. Exact peak of spectra detected differs between species. In humans, spectra peaks at 564-580 nm. Synonyms: L cone, L-cone, long wavelength sensitive cone, long- (L) wavelength-sensitive cone, long-wavelength cone","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"M cone cell","A cone cell that detects medium wavelength light. Exact peak of spectra detected differs between species. In humans, spectra peaks at 534-545 nm. Synonyms: M cone, M-cone, middle wavelength sensitive cone, middle- (M) wavelength-sensitive cone, middle-wavelength-sensitive (M) cone","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"S cone cell","A cone cell that detects short wavelength light. Exact peak of spectra detected differs between species. In humans, spectra peaks at 420-440 nm. Synonyms: S cone, S-(short-wavelength sensitive) cone, S-cone, S-cone photoreceptor, short wavelength sensitive cone, short- (S) wavelength-sensitive cone, short-wavelength sensitive cone, short-wavelength-sensitive (S) cone","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"UV cone cell","A cone cell that detects ultraviolet (UV) wavelength light.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"510 nm-cone","A cone whose sensitivity measurements have an average spectral peak of 510 nm. These cones are described in rat.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"360 nm-cone","A cone whose sensitivity measurements have an average spectral peak of 358.2 nm. These cones are described in rat.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type 3a cone bipolar cell","A type of type 3 cone bipolar cell with distinctive curly dendrites.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type 3b cone bipolar cell","A type of type 3 cone bipolar cell with distinctive crescent-shaped dendrites.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type 5a cone bipolar cell","A type 5 cone bipolar cell with narrowly stratified post synaptic terminals.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type 5b cone bipolar cell","A type 5 cone bipolar cell with diffuse axonal branches.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"H1 horizontal cell","A horizontal cell with a large cell body, thick dendrites, and a large dendritic arbor. Synonyms: A Horizontal Cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"H2 horizontal cell","A horizontal cell with a small cell body, thin dendrites, and small dendritic arbor. Synonyms: B Horizontal Cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"A2 amacrine cell","A bistratifed retinal amacrine cell with a small dendritic field, dendrite stratification in S1-S2, and a second dendrite stratification in S5. This cell type releases the neurotransmitter glycine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"flag amacrine cell","An amacrine cell with a small, asymteric dendritic field.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"flag A amacrine cell","A flag amacrine cell with post-synaptic terminals in S2 and S3. This cell type releases the neurotransmitter glycine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"flag B amacrine cell","A flag amacrine cell with post-synaptic terminals in S3, S4, and S5. This cell type releases the neurotransmitter glycine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"AB diffuse-1 amacrine cell","A amacrine cell with a small dendritic field and post-synaptic terminals in S1, S2, S3, and S4. AB diffuse-1 amacrine cells have a tent-shaped dendritic arbor and undulate dendrites.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"AB diffuse-2 amacrine cell","A broadly stratifying amacrine cell that has a small dendritic field and post-synaptic terminals in S2 and S3. This cell type releases the neurotransmitter glycine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"spider amacrine cell","A broadly stratifying amacrine cell with a small dendritic field, straight dendrites and post-synaptic terminals in S1, S2, and S3.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"monostratified amacrine cell","An amacrine cell with a small dendritic field with post-synaptic terminals in S3 and S4.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"flat bistratified amacrine cell","A bistratified amacrine cell with a small dendritic field. Flat bistratified amacrine cells have post-synaptic terminals both on the border of S1 and S2, and on the border of S3 and S4. This cell type releases the neurotransmitter glycine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"broad diffuse amacrine cell","An amacrine cell with a small dendritic field that has post-synaptic terminals in S1, S2, S3, and S4.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"A2-like amacrine cell","A bistratified amacrine cell with a small dendritic field that has dendrite stratification in S2, and in S3 and S4.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"diffuse bistratified amacrine cell","A bistratified amacrine cell with a small dendritic field that has post-synaptic terminals in S1 and the border of S1-S2, and termination of a second arbor within the border of S2-S3 and S3.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"recurving diffuse amacrine cell","A broadly stratifying amacrine cell with a small dendritic field and a complex dendritic arbor. Recurving diffuse amacrine cells have post-synaptic terminals in S2, S3, and S4.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"starburst amacrine cell","An amacrine cell with a flat dendritic arbor and a medium dendritic field. Starburst amacrine cells have post-synaptic terminals in S2. This cell type releases the neurotransmitters gamma-aminobutyric acid (GABA) and acetylcholine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"DAPI-3 amacrine cell","An amacrine cell with a medium dendritic field and post-synaptic terminals that stratify at S2, with a second stratification that occurs in S3 and S4. This cell type releases the neurotransmitter glycine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"diffuse multistratified amacrine cell","An amacrine cell with a medium dendritic field and post-synaptic terminals in S2, and in S3-S4.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"AB broad diffuse-1 amacrine cell","An amacrine cell with a medium dendritic field and post-synaptic terminals in S2 and S3. This cell type releases the neurotransmitter gamma-aminobutyric acid (GABA).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"AB broad diffuse-2 amacrine cell","An amacrine cell with a medium dendritic field and post-synaptic terminals in S2, S3, and S4. This cell type releases the neurotransmitter gamma-aminobutyric acid (GABA).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"fountain amacrine cell","A retinal amacrine cell with a medium dendritic field and post-synaptic terminals in S1, S2, S3, and S4. This cell type releases the neurotransmitter gamma-aminobutyric acid (GABA).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"asymmetric bistratified amacrine cell","A bistratified amacrine cell with a medium dendritic field, a flat and sparse dendritic arbor, and post-synaptic terminals at the intersections of S1 and S2, and S3 and S4.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"wavy bistratified amacrine cell","A bistratified amacrine cell with a medium dendritic field and post-synaptic terminals in S1-S2, and S4.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"WF1 amacrine cell","An amacrine cell with a wide dendritic field, dendrites in S1, and post-synaptic terminals in S1.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"WF2 amacrine cell","An amacrine cell with a wide dendritic field, dendrites in S2, and post-synaptic terminals in S1.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"WF3-1 amacrine cell","An amacrine cell with a wide dendritic field, dendrites in S3, and post-synaptic terminals in S3. Dendrites of this cell type are straight and minimally branched.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"WF3-2 amacrine cell","An amacrine cell with a wild dendritic field, dendrites in S3, and post-synaptic terminals in S3. Dendrites have spikes, cross over each other, and cover a larger volume than dendrties of W3-1 retinal amacrine cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"WF4 amacrine cell","An amacrine cell with a wide dendritic field, dendrites in S4, and post-synaptic terminals in S4.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"indoleamine-accumulating amacrine cell","An amacrine cell with a wide dendritic field and post-synaptic terminals in S5. This cell type releases the neurotransmitters gamma-aminobutyric acid (GABA) and serotonin.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"monostratified cell","A central nervous system neuron that stratifies at one and only one location.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"bistratified cell","A neuron that stratifies dendrites at two and only two locations.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"bistratified retinal amacrine cell","An amicrine that stratifies dendrites at two and only two locations.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"narrow field retinal amacrine cell","An amicrine that has a narrow dendritic field.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"medium field retinal amacrine cell","An amicrine that has a medium dendritic field.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"wide field retinal amacrine cell","An amicrine that has a wide dendritic field.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"iridoblast","A non-terminally differentiated cell that originates from the neural crest and differentiates into an iridophore.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"xanthoblast","A non-terminally differentiated cell that differentiates into a xanthophore.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"leucoblast","A non-terminally differentiated cell that originates from the neural crest and differentiates into a leucophore.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pigment erythroblast","A non-terminally differentiated cell that originates from the neural crest and differentiates into an erythrophore.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cyanoblast","A non-terminally differentiated cell that originates from the neural crest and differentiates into a cyanophore.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ionocyte","Specialized epithelial cells involved in the maintenance of osmotic homeostasis. They are characterized by abundant mitochondria and ion transporters. In amniotes, they are present in the renal system. In freshwater fish, ionocytes in the skin and gills help maintain osmotic homeostasis by absorbing salt from the external environment.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"macular hair cell","An auditory hair cell located in the macula that is sensitive to auditory stimuli.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"renal principal cell","A cuboidal epithelial cell of the kidney which regulates sodium and potassium balance. The activity of sodium and potassium channels on the apical membrane of the cell is regulated by aldosterone and vasopressin. In mammals this cell type is located in the renal collecting duct system.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"renal intercalated cell","A cuboidal epithelial cell of the kidney that regulates acid/base balance. Synonyms: intercalated cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"renal alpha-intercalated cell","A cuboidal epithelial cell of the kidney which secretes acid and reabsorbs base to regulate acid/base balance. Synonyms: type A intercalated cell, type A-IC","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"multiciliated epithelial cell","A columnar/cuboidal epithelial cell with multiple motile cilia on its apical surface. These cells facilitate the movement of liquids such as mucus or cerebrospinal fluid across the epithelial surface. Synonyms: multi-ciliated epithelial cell, multiciliated epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"single ciliated epithelial cell","A ciliated epithelial cell with a single cilium.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"auditory epithelial supporting cell","A non-sensory cell that extends from the basement membrane to the apical surface of the auditory epithelium and provides support for auditory hair cells. Synonyms: auditory epithelial support cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"inner phalangeal cell","An auditory epithelial support cell that surrounds the nerve fibers and synapses of the auditory inner hair cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ghrelin secreting cell","A cell that secretes ghrelin, the peptide hormone that stimulates hunger.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pancreatic epsilon cell","Ghrelin secreting cells found in the endocrine pancreas. Synonyms: pancreatic E cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lymphangioblast","Lymphatic progenitor cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mesenchymal lymphangioblast","Mesenchymal derived lymphatic progenitor cells that give rise to the superficial lymphatics.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"vascular lymphangioblast","Lymphatic progenitor cells, derived from the veins, that give rise to lymphatic endothelial cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hepatoblast","Multi fate stem cell that gives rise to both hepatocytes and cholangiocytes as descendants. The term often refers to fetal precursors of hepatocytes (differently from 'hepatic stem cell', usually applied to the self-renewing pool of hepatocyte precursors in the adult liver). Hepatoblasts may also be endogenous, as some stem cells found in the liver come from the bone marrow via blood circulation.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"preameloblast","Skeletogenic cell that has the potential to develop into an ameloblast. Located in the inner enamel epithelium, these cells elongate, their nuclei shift distally (away from the dental papilla), and their cytoplasm becomes filled with organelles needed for synthesis and secretion of enamel proteins.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"skeletogenic cell","Cell that has the potential to form a skeletal cell type (e.g. cells in periosteum, cells in marrow) and produce extracellular matrix (often mineralized) and skeletal tissue (often mineralized). Synonyms: scleroblast","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"precementoblast","Skeletogenic cell that has the potential to develop into a cementoblast.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"preodontoblast","Skeletogenic cell that has the potential to form an odontoblast, deposits predentine, and arises from a cranial neural crest cell.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"premigratory neural crest cell","Cell that is part of the neural crest region of the neuroepithelium, prior to migration. Note that not all premigratory neural crest cells may become migratory neural crest cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"notochordal cell","Cell that is part of the notochord.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"chordamesodermal cell","Mesodermal cell that is axially located and gives rise to the cells of the notochord. Synonyms: axial mesodermal cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"notochordal sheath cell","Notochordal cell that is part of the outer epithelium of the notochord and surrounds the vacuolated notochord cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"notochordal vacuole cell","Notochordal cell that is inner portion of the notochord and becomes vacuolated as development proceeds. Synonyms: chordablast, chordoblast","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"prechondroblast","Skeletogenic cell that has the potential to develop into a chondroblast; and arises from neural crest, meseosdermal and notochordal and connective tissue cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"preosteoblast","Skeletogenic cell that has the potential to transform into an osteoblast, and develops from neural crest or mesodermal cells. Synonyms: osteoprogenitor cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"non-terminally differentiated odontoblast","Odontoblast that non-terminally differentiated, located in the odontogenic papilla and dentine tissue, and transforms from a odontoblast cell.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"terminally differentiated odontoblast","Odontoblast that is terminally differentiated and derived from an odontogenic papilla and associated with dentine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"adaxial cell","Muscle precursor cell that is adjacent to the notochord and part of the presomitic mesoderm.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Stiftchenzellen","An epidermal cell with apical microvilli or a single apical projection have synaptic associations with nerve fibres in the epidermis.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epidermal ciliary cell","Ciliated cell of the embryonic epidermis and functions in embryonic movements.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epidermal mucus secreting cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"bottle cell","Characteristic early embryonic cell with a bottle or flask shape that is first to migrate inwards at the blastopore during gastrulation in amphibians.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"alarm substance cell","Secretory cell that produces a chemical mixture that triggers antipredator behavior. The substance is released only upon disruption of the epidermis. [Behavior of teleost fishes, second edition, edited by Pitcher, 1992] Synonyms: alarm substance secreting cell, club cell (zebrafish)","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"micropylar cell","A specialized pore forming cell of the follicle, located adjacent to the animal pole of the oocyte. The micropylar cell makes the single micropyle (pore) through the chorion through which the sperm fertilizes the egg. Synonyms: plug cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"flask cell","Epidermal cell rich in mitochondria. In amphibians, appears during metamorphosis.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"non-striated muscle cell","Any muscle cell in which the fibers are not organised into sarcomeres.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hematopoietic precursor cell","Any hematopoietic cell that is a precursor of some other hematopoietic cell type.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"skeletal muscle fiber","A transversely striated, synctial cell of skeletal muscle. It is formed when proliferating myoblasts exit the cell cycle, differentiate and fuse.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"somatic muscle myotube","A myotube that is part of some somatic muscle.  Examples include arthropod somatic muscle cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"somatic muscle cell","A muscle cell that is part of some somatic muscle.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"obliquely striated somatic muscle cell","A somatic muscle cell that is obliquely striated and mononucleated. Examples include the somatic muscles of nematodes.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"muscle founder cell","A myoblast that detemines the properties (size, shape and attachment to the epidermis) of a `somatic muscle myotube` (CL:0008003) .  It develops into a somatic muscle myotube via fusion with `fusion component myoblasts` (CL:0000621).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"visceral muscle cell","A muscle cell that is part of some visceral muscle.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"striated visceral muscle cell","A visceral muscle cell that is striated.  Examples include the visceral muscle cells of arhtropods.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"transversely striated visceral muscle cell","A visceral muscle that is transversely striated.  Examples include the visceral muscle cells of arthropods.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"skeletal muscle satellite stem cell","A skeletal muscle satellite cell that divides by stem cell division.  A proportion of this population undergoes symmetric stem cell division, producing two skeletal muscle satellite stem cells. The rest undergo asymmetric stem cell division - retaining their identity while budding off a daughter cell that differentiates into an adult skeletal muscle myoblast.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"quiescent skeletal muscle satellite cell","A skeletal muscle satellite cell that is mitotically quiescent.  These cells are wedge shaped and have a large nuclear to cytoplasmic ratio with few organelles, a small nucleus and condensed interphase chromatin. Satellite cells typically remain in this state until activated following muscle damage.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"activated skeletal muscle satellite cell","A skeletal muscle satellite cell that has become mitotically active - typically following muscle damage.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"adult skeletal muscle myoblast","A skeletal muscle myoblast that is part of a skeletal mucle.  These cells are formed following acivation and division of skeletal muscle satellite cells. They form a transient population that is lost when they fuse to form skeletal muscle fibers.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"somatic muscle myoblast","A myoblast that is commited to developing into a somatic muscle.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mesenchymal cell","A non-polarised cell precursor cell that is part of some mesenchyme, is associated with the cell matrix but is not connected to other cells and is capable of migration. Synonyms: mesenchyme cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"skeletal muscle satellite myogenic cell","A skeletal muscle satellite cell that undergoes symmetric division to produce two adult skeleltal muscle myoblasts.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endocardial cushion cell","A mesenchymal cell of the endocardial cushion.   These cells develop via an epithelial to mesenchymal transition when endocardial cells break cell-to-cell contacts and migrate into the cardiac jelly. Cells from this population form the heart septa and valves.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pancreatic endocrine cell","An endocrine cell that is part of the pancreas.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"decidual pericyte","A pericyte of the decidual vasculature. Synonyms: decidual perivascular cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mural cell","Mural cells are pericytes and the vascular smooth muscle cells (vSMCs) of the microcirculation.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"microcirculation associated smooth muscle cell","Any vascular associated smooth muscle cell that is part of some microcirculatory vessel.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"extravillous trophoblast","A trophoblast cell that is not part of a placental villous. Synonyms: EVT, extravillous cytotrophloblast","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"squamous endothelial cell of venule","An endothelial cell of the venule that is squamous shaped. This is in contrast to the cubodial shape of high endothelial venule cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mesothelial cell of intestine","A mesothelial cell that is part of the intestinal serosa.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"tanycyte of subfornical organ","A tanycyte of the subfornical organ (SFO).  These cells extend long and slender fibers extending from their cell bodies in the ependyma toward fenestrated capillaries associated with the SFO, where they form a dense network surrounding these capillaries. Synonyms: tanycyte-like cell of subfornical organ","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"tanycyte of area postrema","A tanycyte of the area postrema (AP).  These cells extend long and slender fibers extending from their cell bodies in the ependyma toward fenestrated capillaries associated with the AP, where they form a dense network surrounding these capillaries. Synonyms: tanycyte-like cell of area postrema","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"tanycyte of subcommissural organ","A tanycyte of the subcommisural organ (SCO).  These cells extend long and slender fibers extending from their cell bodies in the ependyma toward fenestrated capillaries associated with the SCO, where they form a dense network surrounding these capillaries. Synonyms: tanycyte-like cell of subcommissural organ","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"extrafusal muscle fiber","A skeletal muscle fiber that is innervated by alpha motor neuron and generates tension by contracting, thereby allowing for skeletal movement. These fibers make up the large mass of skeletal muscle tissue and are attached to bones by tendons. Synonyms: myofibra extrafusalis","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"intrafusal muscle fiber","A skeletal muscle fiber that is part of a muscle spindle. These are specialized muscle fibers that serve as proprioceptors, detecting the amount and rate of change in length of a muscle. They are innervated by both sensory neurons and motor neurons (gamma and beta motorneurons, collectively referred to as fusimotor neurons). Synonyms: myofibra intrafusalis","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Betz cell","A giant pyramidal neuron with a soma in layer Vb of the primary motor cortex that sends its axons down the spinal cord via the corticospinal tract, either synapsing directly with alpha motor neurons, or targeting interneurons in the spinal cord. In humans, Betz cells are the largest known in the central nervous system. Synonyms: pyramidal cell of Betz","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"circumventricular organ capillary endothelial cell","A capillary endothelial cell that is part of the circumventricular organs (CVOs), characterized by fenestrations that facilitate selective permeability to molecules, distinguishing it from the non-fenestrated endothelial cells of the blood-brain barrier. This cell is integral to the unique vascular structure of CVOs, which lack a traditional blood-brain barrier. It enables bidirectional exchange of polar molecules between blood and neural tissue, supporting neuroendocrine signaling, fluid balance, and immune responses. It is marked by the expression of PLVAP, a component of the fenestral diaphragm, in both rodents and humans.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"respiratory tract secretory epithelial cell","A secretory epithelial cell of the respiratory tract epithelium.  These cells have an endodermal origin.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"inflammatory cell","Any cell participating in the inflammatory response to a foreign substance, e.g. neutrophil, macrophage.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"retinal cell","Any cell in the retina, the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"salivary gland cell","Any cell in a salivary gland.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"enteroendocrine cell of small intestine","An enteroendocrine cell that is located in the small intestine. Synonyms: small intestine enteroendocrine cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"gastrointestinal tract (lamina propria) macrophage of small intestine","A macrophage which is resident in the lamina propria of the small intestine. Synonyms: small intestine lamina propria resident macrophage","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"gastrointestinal tract (lamina propria) macrophage of large intestine","A macrophage which is resident in the lamina propria of the large intestine. Synonyms: large intestine lamina propria resident macrophage","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"paneth cell of colon","A paneth cell that is located in the epithelium of the colon. Synonyms: paneth cell of epithelium of colon, paneth-like cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"transit amplifying cell","Transit-amplifying cells (TACs) are an undifferentiated population in transition between stem cells and differentiated cells. Synonyms: transient amplifying cell, transit amplifying progenitor cell, transit-amplifying cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"transit amplifying cell of colon","A rapidly proliferating population of cells that differentiate from stem cells of the intestinal crypt of the colon. Stem cells located in the crypts of Lieberkühn give rise to proliferating progenitor or transit amplifying cells that differentiate into the four major epithelial cell types. These include columnar absorptive cells or enterocytes, mucous secreting goblet cells, enteroendocrine cells and paneth cells. Synonyms: colon transit amplifying cell, transient amplifying cell of colon, transient amplifying cell of crypt of Lieberkuhn of colon, transit amplifying cell of crypt of Lieberkuhn of colon, transit-amplifying cell of colon","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"transit amplifying cell of small intestine","A rapidly proliferating population of cells that differentiate from stem cells of the intestinal crypt of the small intestine. Stem cells located in the crypts of Lieberkühn give rise to proliferating progenitor or transit amplifying cells that differentiate into the four major epithelial cell types. These include columnar absorptive cells or enterocytes, mucous secreting goblet cells, enteroendocrine cells and paneth cells. Synonyms: small intestine transit amplifying cell, transient amplifying cell of crypt of Lieberkuhn of small intestine, transient amplifying cell of small intestine, transit amplifying cell of crypt of Lieberkuhn of small intestine, transit-amplifying cell of small intestine","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"fetal hepatobiliary progenitor cell","A progenitor cell with hepatic and biliary lineage potential, identified in mouse and human, and anatomically restricted to the ductal plate of fetal liver. Synonyms: HHyP cell, fetal hepatobiliary hybrid progenitor cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Peyer's patch lymphocyte","A lymphocyte that is part of a Peyer's patch. These cells have a major role in driving the immune response to antigens sampled from the intestinal lumen, and in regulating the formation of follicle-associated epithelium and M cells in Peyer's patches by converting intestitial enterocytes into M cells. Synonyms: Peyer's patch resident lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Peyer's patch follicular dendritic cell","A follicular dendritic cell located in the Peyer's patch. These cells from a meshwork in which Peyer's patch B cells reside.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
